song_id,楽曲名,原曲アーティスト,作詞1,作詞2,作曲1,作曲2,編曲1,編曲2,リリース日
S0001,ラプンツェル,n-buna,n-buna,,n-buna,,,,2016/7/6
S0002,秒針を噛む,ずっと真夜中でいいのに。,ACA ne,,ACA ne,,,,2018/8/30
S0003,Stellar Stellar,星街すいせい,星街すいせい,,星街すいせい,,,,2021/9/29
S0004,ロストメモリー,深影,深影,,深影,,,,2025/4/26
S0005,春泥棒,ヨルシカ,n-buna,,n-buna,,,,2021/1/9
S0006,勿忘,Awesome City Club,atagi,PORIN,atagi,永野亮,永野亮,,2021/1/27
S0007,晴る,ヨルシカ,n-buna,,n-buna,,,,2024/1/5
S0008,春の歌,スピッツ,草野正宗,,草野正宗,,,,2005/4/20
S0009,春ひさぎ,ヨルシカ,n-buna,,n-buna,,,,2020/6/3
S0010,怪獣の花唄,Vaundy,Vaundy,,Vaundy,,,,2020/5/11
S0011,ハナミズキ,一青窈,一青窈,,マシコタツロウ,,,,2004/2/11
S0012,天城越え,石川さゆり,吉岡治,,弦哲也,,,,1986/7/21
S0013,心拍数♯0822,蝶々P,蝶々P,,蝶々P,,,,2010/8/22
S0014,アイノカタチ,MISIA,GReeeeN,,GReeeeN,,,,2018/8/22
S0015,私は最強,Ado,大森元貴,,大森元貴,,,,2022/6/22
S0016,inside you,milet,milet,,Toru,milet,,,2019/3/6
S0017,I beg you,Aimer,梶浦由記,,梶浦由記,,,,2019/1/9
S0018,罪と罰,椎名林檎,椎名林檎,,椎名林檎,,,,2000/1/26
S0019,ひこうき雲,松任谷由実,荒井由実,,荒井由実,,,,1973/11/20
S0020,悪魔の子,ヒグチアイ,ヒグチアイ,,ヒグチアイ,,,,2022/1/10
S0021,甲賀忍法帖,陰陽座,瞬火,,瞬火,,,,2005/4/27
S0022,ビビデバ,星街すいせい,ツミキ,,ツミキ,,,,2024/3/23
S0023,ソワレ,星街すいせい,ナナホシ管弦楽団,,岩見陸,,,,2022/12/18
S0024,本能,椎名林檎,椎名林檎,,椎名林檎,,,,1999/10/27
S0025,Beautiful World,宇多田ヒカル,宇多田ヒカル,,宇多田ヒカル,,,,2009/6/27
S0026,変わらないもの,奥華子,奥華子,,奥華子,,,,2006/7/12
S0027,夜明けと蛍,n-buna,n-buna,,n-buna,,,,2014/11/11
S0028,シャルル,バルーン,バルーン,,バルーン,,,,2016/10/12
S0029,あいつら全員同窓会,ずっと真夜中でいいのに。,ACAね,,ACAね,,,,2021/6/18
S0030,ハム太郎とっとこうた,ハムちゃんず,河井リツ子,,河井リツ子,,,,2000/9/30
S0031,チェリー,スピッツ,草野正宗,,草野正宗,,,,1996/4/10
S0032,とても素敵な六月でした,Eight,Eight,,Eight,,,,2014/6/13
S0033,青と夏,Mrs. GREEN APPLE,大森元貴,,大森元貴,,,,2018/8/1
S0034,青のすみか,キタニタツヤ,キタニタツヤ,,キタニタツヤ,,,,2023/7/19
S0035,雨き声残響,Orangestar,Orangestar,,Orangestar,,,,2014/10/5
